[2026-07-07 19:52:14,296] [INFO] [__main__] Running normalize stage for AADHARHFC
[2026-07-07 19:52:14,296] [INFO] [__main__] [2026-07-07T19:52:14.296506] [START] [AADHARHFC] normalize stage
[2026-07-07 19:52:14,296] [INFO] [__main__] [Normalize] [AADHARHFC] processing
[2026-07-07 19:52:14,296] [INFO] [__main__] [2026-07-07T19:52:14.296560] [DONE] [AADHARHFC] normalize stage completed
[2026-07-07 19:52:14,296] [INFO] [__main__] Running discover stage for AARTIIND
[2026-07-07 19:52:14,296] [INFO] [__main__] [2026-07-07T19:52:14.296603] [START] [AARTIIND] discover stage
[2026-07-07 19:52:14,296] [INFO] [__main__] Discover stage for AARTIIND
[2026-07-07 19:52:14,296] [INFO] [__main__] [2026-07-07T19:52:14.296656] [DONE] [AARTIIND] discover stage completed
[2026-07-07 19:52:14,296] [INFO] [__main__] Running numeric stage for AARTIIND
[2026-07-07 19:52:14,296] [INFO] [__main__] [2026-07-07T19:52:14.296701] [START] [AARTIIND] numeric stage
[2026-07-07 19:52:14,296] [INFO] [__main__] [2026-07-07T19:52:14.296746] [SKIP] [AARTIIND] numeric stage (output exists)
[2026-07-07 19:52:14,296] [INFO] [__main__] Running document stage for AARTIIND
[2026-07-07 19:52:14,296] [INFO] [__main__] [2026-07-07T19:52:14.296792] [START] [AARTIIND] document stage
[2026-07-07 19:52:14,296] [INFO] [__main__] [2026-07-07T19:52:14.296832] [SKIP] [AARTIIND] document stage (output exists)
[2026-07-07 19:52:14,296] [INFO] [__main__] Running convert stage for AARTIIND
[2026-07-07 19:52:14,296] [INFO] [__main__] [2026-07-07T19:52:14.296878] [START] [AARTIIND] convert stage
[2026-07-07 19:52:14,296] [INFO] [__main__] [Convert] [AARTIIND] processing
[2026-07-07 19:52:14,296] [INFO] [__main__] [2026-07-07T19:52:14.296936] [DONE] [AARTIIND] convert stage completed
[2026-07-07 19:52:14,296] [INFO] [__main__] Running clean stage for AARTIIND
[2026-07-07 19:52:14,296] [INFO] [__main__] [2026-07-07T19:52:14.296981] [START] [AARTIIND] clean stage
[2026-07-07 19:52:14,297] [INFO] [__main__] [2026-07-07T19:52:14.297016] [SKIP] [AARTIIND] clean stage (output exists)
[2026-07-07 19:52:14,297] [INFO] [__main__] Running chunk stage for AARTIIND
[2026-07-07 19:52:14,297] [INFO] [__main__] [2026-07-07T19:52:14.297091] [START] [AARTIIND] chunk stage
[2026-07-07 19:52:14,297] [INFO] [__main__] [2026-07-07T19:52:14.297126] [SKIP] [AARTIIND] chunk stage (output exists)
[2026-07-07 19:52:14,297] [INFO] [__main__] Running normalize stage for AARTIIND
[2026-07-07 19:52:14,297] [INFO] [__main__] [2026-07-07T19:52:14.297168] [START] [AARTIIND] normalize stage
[2026-07-07 19:52:14,297] [INFO] [__main__] [Normalize] [AARTIIND] processing
[2026-07-07 19:52:14,297] [INFO] [__main__] [2026-07-07T19:52:14.297214] [DONE] [AARTIIND] normalize stage completed
[2026-07-07 19:52:14,297] [INFO] [__main__] Running discover stage for AAVAS
[2026-07-07 19:52:14,297] [INFO] [__main__] [2026-07-07T19:52:14.297250] [START] [AAVAS] discover stage
[2026-07-07 19:52:14,297] [INFO] [__main__] Discover stage for AAVAS
[2026-07-07 19:52:14,297] [INFO] [__main__] [2026-07-07T19:52:14.297293] [DONE] [AAVAS] discover stage completed
[2026-07-07 19:52:14,297] [INFO] [__main__] Running numeric stage for AAVAS
[2026-07-07 19:52:14,297] [INFO] [__main__] [2026-07-07T19:52:14.297329] [START] [AAVAS] numeric stage
[2026-07-07 19:52:14,297] [INFO] [__main__] [2026-07-07T19:52:14.297358] [SKIP] [AAVAS] numeric stage (output exists)
[2026-07-07 19:52:14,297] [INFO] [__main__] Running document stage for AAVAS
[2026-07-07 19:52:14,297] [INFO] [__main__] [2026-07-07T19:52:14.297393] [START] [AAVAS] document stage
[2026-07-07 19:52:14,297] [INFO] [__main__] [2026-07-07T19:52:14.297950] [SKIP] [AAVAS] document stage (output exists)
[2026-07-07 19:52:14,297] [INFO] [__main__] Running convert stage for AAVAS
[2026-07-07 19:52:14,298] [INFO] [__main__] [2026-07-07T19:52:14.298034] [START] [AAVAS] convert stage
[2026-07-07 19:52:14,298] [INFO] [__main__] [Convert] [AAVAS] processing
[2026-07-07 19:52:14,298] [INFO] [__main__] [2026-07-07T19:52:14.298093] [DONE] [AAVAS] convert stage completed
[2026-07-07 19:52:14,298] [INFO] [__main__] Running clean stage for AAVAS
[2026-07-07 19:52:14,298] [INFO] [__main__] [2026-07-07T19:52:14.298139] [START] [AAVAS] clean stage
[2026-07-07 19:52:14,298] [INFO] [__main__] [2026-07-07T19:52:14.298171] [SKIP] [AAVAS] clean stage (output exists)
[2026-07-07 19:52:14,298] [INFO] [__main__] Running chunk stage for AAVAS
[2026-07-07 19:52:14,298] [INFO] [__main__] [2026-07-07T19:52:14.298212] [START] [AAVAS] chunk stage
[2026-07-07 19:52:14,298] [INFO] [__main__] [2026-07-07T19:52:14.298248] [SKIP] [AAVAS] chunk stage (output exists)
[2026-07-07 19:52:14,298] [INFO] [__main__] Running normalize stage for AAVAS
